day,bar,step_sec,trade_horizon_sec,n_train_days,gate,gate_q,gate_thresh,p_enter_long,p_enter_short,min_hold_sec,turnover,total_cost,total_pnl_net
2024-01-02,30s,30,90,1,none,0.75,,0.6,0.4,90,372.0,0.3197200786801271,-0.23115602921573913
2024-01-03,30s,30,90,2,none,0.75,,0.6,0.4,90,82.0,0.18994775467388184,0.018597287488067608
