day,bar,step_sec,trade_horizon_sec,n_train_days,gate,gate_q,gate_thresh,p_enter_long,p_enter_short,min_hold_sec,turnover,total_cost,total_pnl_net
2024-01-02,30s,30,90,1,none,0.75,,0.6,0.4,180,266.0,0.22436849495872468,-0.1597784903035605
2024-01-03,30s,30,90,2,none,0.75,,0.6,0.4,180,52.0,0.10577642352025754,-0.031607568082371425
