day,bar,step_sec,trade_horizon_sec,n_train_days,gate,gate_q,gate_thresh,p_enter_long,p_enter_short,min_hold_sec,turnover,total_cost,total_pnl_net
2024-01-02,10s,10,30,1,none,0.75,,0.6,0.4,0,2444.0,1.5307333155407463,-0.691266745422648
2024-01-03,10s,10,30,2,none,0.75,,0.6,0.4,0,500.0,0.6022194798536586,-0.1042410667215542
