day,n_train_days,trade_horizon_sec,latency_sec,total_pnl_net,total_cost,sharpe_day,turnover,signal_path,backtest_path,summary,params
2024-01-02,1,5,1,-1.0231429623183654,1.1852105203586643,-33.37119187410165,2809.0,/Users/karthik/projects/quant-portfolio/data/processed/project1/btcusdt_2024-01-02_signal_oos.parquet,/Users/karthik/projects/quant-portfolio/data/processed/project1/btcusdt_2024-01-02_backtest.parquet,"BacktestSummary(n=86330, total_pnl_net=-1.0231429623183654, total_cost=1.1852105203586643, sharpe_ann=-637.5557255572327, max_drawdown=-1.0237592021019435, turnover=2809.0)","{'p_enter_long': 0.62, 'p_enter_short': 0.38, 'latency_sec': 1, 'min_hold_sec': 30, 'costs': {'taker_fee_bps': 4.0, 'spread_mult': 1.0, 'slippage_bps': 0.0}}"
2024-01-03,2,5,1,-1.03718672916116,1.1222750584981096,-21.319690046329193,2458.0,/Users/karthik/projects/quant-portfolio/data/processed/project1/btcusdt_2024-01-03_signal_oos.parquet,/Users/karthik/projects/quant-portfolio/data/processed/project1/btcusdt_2024-01-03_backtest.parquet,"BacktestSummary(n=86330, total_pnl_net=-1.03718672916116, total_cost=1.1222750584981096, sharpe_ann=-407.31210642468636, max_drawdown=-1.0371902531875543, turnover=2458.0)","{'p_enter_long': 0.62, 'p_enter_short': 0.38, 'latency_sec': 1, 'min_hold_sec': 30, 'costs': {'taker_fee_bps': 4.0, 'spread_mult': 1.0, 'slippage_bps': 0.0}}"
