day,bar,step_sec,trade_horizon_sec,n_train_days,gate,gate_q,gate_thresh,p_enter_long,p_enter_short,min_hold_sec,turnover,total_cost,total_pnl_net
2024-01-02,30s,30,90,1,high,0.75,0.0002819081023618021,0.6,0.4,0,424.0,0.3899852815053383,-0.23875835822684172
2024-01-03,30s,30,90,2,high,0.75,0.0004106257290795174,0.6,0.4,0,92.0,0.23506291330169982,-0.010360215883615005
