t,trade_side,trade_px,mid_pre,mid_post,realized_spread,adverse_selection
4,-1,100.06085643193185,100.01085643193186,100.00985791371212,0.05099851821972834,-0.0009985182197311815
6,-1,100.05676732407075,100.00676732407075,100.01407620535804,0.04269111871271036,0.007308881287286795
9,1,99.97852735088476,100.02852735088476,100.04153920664125,0.0630118557564856,-0.013011855756488444
12,-1,100.10677606394192,100.05677606394192,100.05812764533171,0.048648418610213184,0.0013515813897839735
14,1,100.00173422100457,100.05173422100457,100.08163304722925,0.07989882622467803,-0.029898826224680874
17,1,100.04080229133353,100.09080229133353,100.08697620483589,0.04617391350235778,0.0038260864976393805
18,-1,100.13697620483589,100.08697620483589,100.09691941971697,0.04005678511892086,0.009943214881076301
21,-1,100.13685169471717,100.08685169471717,100.09659114433288,0.04026055038428922,0.00973944961570794
22,1,100.04659114433288,100.09659114433288,100.10552176785347,0.058930623520595304,-0.008930623520598147
23,1,100.05552176785348,100.10552176785347,100.10392740363535,0.048405635781875844,0.0015943642181213136
24,-1,100.15392740363535,100.10392740363535,100.08398246708332,0.06994493655203371,-0.019944936552036552
25,1,100.03398246708332,100.08398246708332,100.10996703303904,0.07598456595572145,-0.025984565955724293
28,1,100.02131187341784,100.07131187341784,100.04239071633008,0.02107884291223172,0.028921157087765437
30,1,99.99282775924054,100.04282775924054,100.04641327193967,0.05358551269912937,-0.0035855126991322095
32,1,100.00355069312266,100.05355069312266,100.03501917429455,0.03146848117188483,0.018531518828112326
36,-1,100.07754648930982,100.02754648930983,100.01923934410624,0.058307145203585264,-0.008307145203588107
37,-1,100.06923934410624,100.01923934410624,100.02238031545515,0.0468590286510846,0.003140971348912558
38,1,99.97238031545515,100.02238031545515,100.01265415727369,0.04027384181853222,0.009726158181464939
40,1,99.96525964770315,100.01525964770315,99.9959573124585,0.030697664755351184,0.019302335244645974
43,1,99.95959433858006,100.00959433858006,100.00049466897325,0.04090033039318541,0.009099669606811744
47,-1,100.11677165770483,100.06677165770483,100.03940847371992,0.07736318398491449,-0.027363183984917328
48,1,99.98940847371992,100.03940847371992,100.0317447272972,0.04233625357727533,0.007663746422721829
49,1,99.9817447272972,100.0317447272972,100.01385018691808,0.03210545962087963,0.01789454037911753
51,-1,100.06058132894758,100.01058132894758,100.02346010481311,0.0371212241344665,0.012878775865530656
54,-1,100.02255598924984,99.97255598924984,99.96287260058317,0.05968338866667011,-0.009683388666672954
56,1,99.93962056273203,99.98962056273203,99.99447049855745,0.054849935825416196,-0.004849935825419038
57,-1,100.04447049855744,99.99447049855745,99.99903506516023,0.04543543339721623,0.004564566602780928
59,1,99.94328739792925,99.99328739792925,100.01740447034702,0.07411707241776355,-0.024117072417766394
63,-1,100.01840779556166,99.96840779556166,99.94647208399256,0.07193571156909684,-0.02193571156909968
64,-1,99.99647208399256,99.94647208399256,99.9391071048568,0.057364979135755334,-0.007364979135758176
66,-1,99.98420154793796,99.93420154793796,99.93152508864763,0.05267645929032483,-0.0026764592903276707
67,-1,99.98152508864763,99.93152508864763,99.93616848644015,0.045356602207476726,0.004643397792520432
70,-1,99.97484591232266,99.92484591232267,99.96670927850128,0.008136633821379746,0.04186336617861741
71,1,99.91670927850129,99.96670927850128,99.94446104906162,0.027751770560328737,0.02224822943966842
72,-1,99.99446104906161,99.94446104906162,99.90956932932214,0.08489171973947407,-0.03489171973947691
78,-1,99.85862037926844,99.80862037926845,99.78756240905437,0.07105797021407056,-0.021057970214073407
82,-1,99.86704002787133,99.81704002787133,99.81322700672122,0.053813021150105556,-0.0038130211501083977
83,-1,99.86322700672122,99.81322700672122,99.827842500544,0.03538450617722333,0.014615493822773828
84,-1,99.87784250054399,99.827842500544,99.81747690369667,0.060365596847319125,-0.010365596847321967
86,1,99.74720255636787,99.79720255636786,99.80344274579889,0.056240189431022714,-0.006240189431025556
89,-1,99.81826531484339,99.76826531484339,99.79778429580446,0.020481019038925297,0.02951898096107186
92,-1,99.86946643438942,99.81946643438943,99.8271343116765,0.04233212271292075,0.007667877287076408
97,1,99.80041708193585,99.85041708193584,99.87660809563306,0.07619101369721193,-0.02619101369721477
98,-1,99.92660809563306,99.87660809563306,99.86072536983255,0.06588272580050614,-0.01588272580050898
100,-1,99.8824700521547,99.8324700521547,99.85650912467914,0.02596092747556611,0.02403907252443105
102,-1,99.92109335216144,99.87109335216144,99.88502887409457,0.03606447806686219,0.013935521933134964
104,-1,99.93971209825627,99.88971209825627,99.87378265169477,0.06592944656149768,-0.015929446561500527
105,1,99.82378265169477,99.87378265169477,99.89877132968932,0.07498867799455411,-0.02498867799455695
107,-1,99.98532505233467,99.93532505233468,99.94336336291727,0.04196168941740552,0.008038310582591635
109,-1,99.99147535587329,99.9414753558733,99.96754705626087,0.02392829961242171,0.026071700387575447
110,1,99.91754705626087,99.96754705626087,99.95673617747772,0.03918912121685025,0.010810878783146904
112,-1,100.03530211730909,99.98530211730909,99.98221645177534,0.053085665533743054,-0.003085665533745896
114,-1,100.04945488885392,99.99945488885392,100.03079933718536,0.0186555516685587,0.03134444833143846
117,-1,100.09956420928394,100.04956420928394,100.0662256167363,0.03333859254763638,0.016661407452360777
119,-1,100.09443426687012,100.04443426687013,100.04857043513715,0.045863831732972926,0.004136168267024232
120,-1,100.09857043513715,100.04857043513715,100.06552460418617,0.033045830950982236,0.016954169049014922
126,1,100.07652528161287,100.12652528161287,100.13080030694175,0.05427502532887729,-0.004275025328880133
127,-1,100.18080030694175,100.13080030694175,100.10417218525745,0.07662812168429411,-0.026628121684296957
