day,n_test,realized_vol_proxy,n_train_days,auc_1s,pos_rate_1s,auc_5s,pos_rate_5s,auc_10s,pos_rate_10s,vol_regime
2024-01-01,86330,4.299138476334143e-05,0,,0.27067068226572455,,0.36023398586818023,,0.4072280783041816,low_vol
2024-01-02,86330,8.346479117802662e-05,1,0.6252370499619841,0.3291671493107842,0.6024662086696684,0.42693154175836906,0.5691285138529837,0.4596200625506776,mid_vol
2024-01-03,86330,0.00017008554088766907,2,0.6275280014682638,0.3288428124638017,0.6003304839812873,0.4124174678559018,0.5720572953582403,0.44662342175373565,high_vol
